antibody_id,vh_success,vl_success,vh_numbered_length,vl_numbered_length,vh_error,vl_error
GDPa1-011,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpupbopyr4.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpne2jqk13.txt'
GDPa1-012,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmppy6wm0k4.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp2ch4dnxi.txt'
GDPa1-013,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp3hwad12b.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpcl975nyg.txt'
GDPa1-014,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpa8ur0p9p.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmporn2aam9.txt'
GDPa1-015,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmph6y5c0di.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp2tt9gjh0.txt'
GDPa1-016,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpp_gn6ni1.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmptdxtcray.txt'
GDPa1-017,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmph_ako1pf.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpzapfswaq.txt'
GDPa1-018,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpws969iq_.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp4vopnnfa.txt'
GDPa1-019,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpzotz3k64.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpkjny_2x1.txt'
GDPa1-020,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpq23khsns.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmppi7tuks4.txt'
GDPa1-021,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp3d2_e8ew.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp6gbpg399.txt'
GDPa1-022,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpfvpgsyy_.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp21g3x968.txt'
GDPa1-023,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpndt4dubt.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp3hhaqmph.txt'
GDPa1-024,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp6nmg26bf.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp0gsis3t7.txt'
GDPa1-025,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmplxm519hv.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpqt9eygb_.txt'
GDPa1-026,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpa5ka92ie.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp7g80vcjl.txt'
GDPa1-027,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp9nf6nlvt.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp4f8bgx81.txt'
GDPa1-028,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp8fgdhj8p.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpuzulfo6t.txt'
GDPa1-029,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpofhyl17c.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpcpinc4l1.txt'
GDPa1-030,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpa8plidit.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpt0v_owg8.txt'
GDPa1-031,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpa_0rvqhk.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp67bqkxpr.txt'
GDPa1-032,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpgumixdqm.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp08v348pn.txt'
GDPa1-033,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp2m9qlvuq.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpaiq100g2.txt'
GDPa1-034,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpqby5mbel.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpuf63mbtz.txt'
GDPa1-035,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpx7xl_ioq.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp3u7xlrgo.txt'
GDPa1-036,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpld1_x47f.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp4tz3_vau.txt'
GDPa1-037,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp54ad84n7.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpxhvqsu0k.txt'
GDPa1-038,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpdqzflfit.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpphgxs84f.txt'
GDPa1-039,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmppi4b8gg3.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpz15ktfq7.txt'
GDPa1-040,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpmudys_ua.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpobixv7ks.txt'
GDPa1-041,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpqgsovo0n.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpb3mno7kq.txt'
GDPa1-042,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp4up5b39x.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpelqa0dm4.txt'
GDPa1-043,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp_5mksssu.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp_g4i58j5.txt'
GDPa1-044,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpfigdp6hd.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpftx6smo6.txt'
GDPa1-045,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp0bvg9mmd.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpe1hdp8vc.txt'
GDPa1-046,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpg7o65ppz.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp55d7v9pj.txt'
GDPa1-047,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpdwq5ftjg.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpkbrlh0km.txt'
GDPa1-048,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpyj5kndx4.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpobsi1nx4.txt'
GDPa1-049,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmphjnl91mk.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpqoeqqt50.txt'
GDPa1-050,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmphwj296eh.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp26jsj4t5.txt'
GDPa1-051,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpnkj753kh.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp2u0_dqqy.txt'
GDPa1-052,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpyz2psov2.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpdpnfxzwq.txt'
GDPa1-053,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpbtuw_o46.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpv39t0m13.txt'
GDPa1-054,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpszonw6zp.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp7oixd53b.txt'
GDPa1-055,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp1msk91gr.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpn4pfm2zj.txt'
GDPa1-056,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp3w7kpzmr.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp266jwmt4.txt'
GDPa1-057,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpkhr4ca8n.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpwn7w2ihm.txt'
GDPa1-058,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpxn0pwzoq.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpu1whp7zm.txt'
GDPa1-059,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpqc64z49r.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpyrj5owga.txt'
GDPa1-060,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpqi4qui1d.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpk01sidr7.txt'
GDPa1-061,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp3lo5jv6w.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp4q82pwum.txt'
GDPa1-062,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpdz048fxh.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp1fb0dpbd.txt'
GDPa1-063,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp9x2x3_57.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpt0_m9fob.txt'
GDPa1-064,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpbjtxmmtz.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpmdtir7kx.txt'
GDPa1-065,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp1w253zsv.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpst_55mi1.txt'
GDPa1-066,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpzkebt4l5.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpm__0rf55.txt'
GDPa1-067,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp6673oapk.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpupeki3fw.txt'
GDPa1-068,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpiphfn5kr.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp3sqlwccj.txt'
GDPa1-069,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp07dt3y42.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpu91ey53x.txt'
GDPa1-070,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpx_1tzmy3.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp1fh7fnxk.txt'
GDPa1-071,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp72kgsir2.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp4z4rs7_k.txt'
GDPa1-072,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpjnxn6vyz.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpn5qpt7xn.txt'
GDPa1-073,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpwpngg2vd.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpjy2l5azl.txt'
GDPa1-074,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp8yjhtdzn.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmprt0yuw44.txt'
GDPa1-075,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpl_wdzs34.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp9nd99elw.txt'
GDPa1-076,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpxz757ikn.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp80h5lb9w.txt'
GDPa1-077,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpc7hmrznk.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp3zyazrwf.txt'
GDPa1-078,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpy6qc8n60.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp5ap6wfmx.txt'
GDPa1-079,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp9os2fw6x.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpab5r9a_7.txt'
GDPa1-080,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp5kmcavg_.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp9td5a909.txt'
GDPa1-081,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpi5m5nb6r.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpb_ep7u30.txt'
GDPa1-082,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpw76d3sup.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpu6rivzyn.txt'
GDPa1-083,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp4ekpn4fh.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpzk0ndvnb.txt'
GDPa1-084,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpcvu_qh4_.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpjdhvdpk1.txt'
GDPa1-085,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpj2xd6qtu.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp6u6w3dwq.txt'
GDPa1-086,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp0oof282d.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpkjfy51ss.txt'
GDPa1-087,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmptv5kekw3.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpkd80p8a_.txt'
GDPa1-088,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpdppm2n6y.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp2g_ftrep.txt'
GDPa1-089,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmplpml2ixd.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp6c0zz6xp.txt'
GDPa1-090,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpx9vllvb4.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp38ruq5b6.txt'
GDPa1-091,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpprh9tuh1.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpixifkbbk.txt'
